Flight Number;Orig;Dest;A/C;Weekday_Z;STD-HH:MM;STA-HH:MM;DD_Z;Net Payload;Net Volume;key
QY411;MXP;BRU;ABY;Thu;22:55;00:20;1.0;46000;386;MXP/BRU/2024-09-12 22:55:00
QY6757;MXP;LHR;ABY;Thu;18:55;21:00;;46000;386;MXP/LHR/2024-09-12 18:55:00
QY7022;MXP;NAP;ABY;Thu;06:35;08:00;;46000;386;MXP/NAP/2024-09-12 06:35:00
QY139;MXP;LEJ;ABY;Thu;22:50;00:30;1.0;46000;386;MXP/LEJ/2024-09-12 22:50:00
QY133;MXP;LEJ;33X;Fri;21:25;23:05;;51200;427;MXP/LEJ/2024-09-13 21:25:00
QY755;MXP;BAH;33X;Fri;05:30;11:15;;51200;427;MXP/BAH/2024-09-13 05:30:00
QY372;MXP;CVG;33Y;Fri;06:00;16:05;;49650;509;MXP/CVG/2024-09-13 06:00:00
D0526;MXP;HKG;77X;Fri;03:10;14:30;;77350;645;MXP/HKG/2024-09-13 03:10:00
QY135;MXP;LEJ;ABY;Fri;12:25;14:05;;46000;386;MXP/LEJ/2024-09-13 12:25:00
QY411;MXP;BRU;ABY;Fri;23:15;00:40;1.0;46000;386;MXP/BRU/2024-09-13 23:15:00
QY6757;MXP;LHR;ABY;Fri;18:55;21:00;;46000;386;MXP/LHR/2024-09-13 18:55:00
QY7022;MXP;NAP;ABY;Fri;06:35;08:00;;46000;386;MXP/NAP/2024-09-13 06:35:00
QY752;MXP;LEJ;ABY;Fri;22:05;23:45;;46000;386;MXP/LEJ/2024-09-13 22:05:00
QY755;MXP;BAH;33X;Sat;08:10;13:55;;51200;427;MXP/BAH/2024-09-14 08:10:00
QY364;MXP;JFK;33Y;Sat;12:15;21:45;;49650;509;MXP/JFK/2024-09-14 12:15:00
QY372;MXP;CVG;33Y;Sat;08:30;18:35;;49650;509;MXP/CVG/2024-09-14 08:30:00
D0524;MXP;HKG;77X;Sat;03:45;15:05;;77350;645;MXP/HKG/2024-09-14 03:45:00
QY463;MXP;EMA;ABY;Sat;23:05;01:05;1.0;46000;386;MXP/EMA/2024-09-14 23:05:00
QY8340;MXP;MAD;ABY;Sat;01:45;04:05;;46000;386;MXP/MAD/2024-09-14 01:45:00
ES755;MXP;BAH;76V;Sun;23:05;05:10;1.0;47650;442;MXP/BAH/2024-09-15 23:05:00
QY6757;MXP;EMA;ABY;Sun;02:10;04:20;;46000;386;MXP/EMA/2024-09-15 02:10:00
QY7023;NAP;MXP;ABY;Mon;19:15;20:50;;46000;386;NAP/MXP/2024-09-09 19:15:00
QY7023;NAP;MXP;ABY;Tue;19:15;20:50;;46000;386;NAP/MXP/2024-09-10 19:15:00
QY7023;NAP;MXP;ABY;Wed;19:15;20:50;;46000;386;NAP/MXP/2024-09-11 19:15:00
