Flight Number,Orig,Dest,A/C,Weekday_Z,DD_Z,Net Payload,Net Volume,Weekday_num,deptime,arrtime,key,key+
K4229,HKG,NGO,77X,Thu,,77350,645,3,2024-09-12 20:00:00,2024-09-12 23:55:00,HKG/NGO/2024-09-12 20:00:00,HKG/NGO/2024-09-12 20:00:00/K4229
K4287,HKG,LAX,77X,Thu,1.0,77350,645,3,2024-09-12 20:00:00,2024-09-13 09:05:00,HKG/LAX/2024-09-12 20:00:00,HKG/LAX/2024-09-12 20:00:00/K4287
3S521,HKG,LEJ,77X,Thu,1.0,77350,645,3,2024-09-12 21:30:00,2024-09-13 10:15:00,HKG/LEJ/2024-09-12 21:30:00,HKG/LEJ/2024-09-12 21:30:00/3S521
3S593,HKG,DEL,77X,Thu,1.0,77350,645,3,2024-09-12 22:20:00,2024-09-13 04:35:00,HKG/DEL/2024-09-12 22:20:00,HKG/DEL/2024-09-12 22:20:00/3S593
D0519,HKG,LEJ,77X,Thu,,77350,645,3,2024-09-12 09:00:00,2024-09-12 22:15:00,HKG/LEJ/2024-09-12 09:00:00,HKG/LEJ/2024-09-12 09:00:00/D0519
QY547,HKG,ALA,33X,Fri,1.0,51200,427,4,2024-09-13 22:00:00,2024-09-14 04:45:00,HKG/ALA/2024-09-13 22:00:00,HKG/ALA/2024-09-13 22:00:00/QY547
QY513,HKG,DXB,33X,Fri,1.0,51200,427,4,2024-09-13 21:35:00,2024-09-14 06:15:00,HKG/DXB/2024-09-13 21:35:00,HKG/DXB/2024-09-13 21:35:00/QY513
PO916,HKG,LAX,74N,Fri,,102300,853,4,2024-09-13 06:05:00,2024-09-13 19:15:00,HKG/LAX/2024-09-13 06:05:00,HKG/LAX/2024-09-13 06:05:00/PO916
3V400,HKG,ALA,74Y,Fri,,87050,725,4,2024-09-13 04:15:00,2024-09-13 10:45:00,HKG/ALA/2024-09-13 04:15:00,HKG/ALA/2024-09-13 04:15:00/3V400
3V517,HKG,ALA,74Y,Fri,1.0,87050,725,4,2024-09-13 23:00:00,2024-09-14 05:30:00,HKG/ALA/2024-09-13 23:00:00,HKG/ALA/2024-09-13 23:00:00/3V517
K4617,HKG,ANC,74Y,Fri,,87050,725,4,2024-09-13 01:00:00,2024-09-13 10:50:00,HKG/ANC/2024-09-13 01:00:00,HKG/ANC/2024-09-13 01:00:00/K4617
K4627,HKG,ANC,74Y,Fri,,87050,725,4,2024-09-13 07:00:00,2024-09-13 16:50:00,HKG/ANC/2024-09-13 07:00:00,HKG/ANC/2024-09-13 07:00:00/K4627
K4675,HKG,ANC,74Y,Fri,1.0,87050,725,4,2024-09-13 23:00:00,2024-09-14 08:50:00,HKG/ANC/2024-09-13 23:00:00,HKG/ANC/2024-09-13 23:00:00/K4675
ES774,HKG,BAH,76V,Fri,1.0,47650,442,4,2024-09-13 21:50:00,2024-09-14 07:40:00,HKG/BAH/2024-09-13 21:50:00,HKG/BAH/2024-09-13 21:50:00/ES774
ES720,HKG,BAH,76V,Fri,1.0,47650,442,4,2024-09-13 21:35:00,2024-09-14 07:25:00,HKG/BAH/2024-09-13 21:35:00,HKG/BAH/2024-09-13 21:35:00/ES720
ES696,HKG,BAH,76V,Fri,1.0,47650,442,4,2024-09-13 20:05:00,2024-09-14 05:55:00,HKG/BAH/2024-09-13 20:05:00,HKG/BAH/2024-09-13 20:05:00/ES696
3S580,HKG,CVG,77X,Fri,,77350,645,4,2024-09-13 01:25:00,2024-09-13 16:15:00,HKG/CVG/2024-09-13 01:25:00,HKG/CVG/2024-09-13 01:25:00/3S580
D01,HKG,NGO,77X,Fri,,77350,645,4,2024-09-13 10:05:00,2024-09-13 13:45:00,HKG/NGO/2024-09-13 10:05:00,HKG/NGO/2024-09-13 10:05:00/D01
D0521,HKG,BAH,77X,Fri,1.0,77350,645,4,2024-09-13 21:55:00,2024-09-14 07:45:00,HKG/BAH/2024-09-13 21:55:00,HKG/BAH/2024-09-13 21:55:00/D0521
K4285,HKG,ANC,77X,Fri,1.0,77350,645,4,2024-09-13 22:00:00,2024-09-14 07:50:00,HKG/ANC/2024-09-13 22:00:00,HKG/ANC/2024-09-13 22:00:00/K4285
3S511,HKG,LEJ,77X,Fri,1.0,77350,645,4,2024-09-13 22:35:00,2024-09-14 11:20:00,HKG/LEJ/2024-09-13 22:35:00,HKG/LEJ/2024-09-13 22:35:00/3S511
D0537,HKG,NGO,77X,Fri,,77350,645,4,2024-09-13 20:00:00,2024-09-13 23:40:00,HKG/NGO/2024-09-13 20:00:00,HKG/NGO/2024-09-13 20:00:00/D0537
QY549,HKG,ALA,33X,Sat,1.0,51200,427,5,2024-09-14 22:00:00,2024-09-15 04:45:00,HKG/ALA/2024-09-14 22:00:00,HKG/ALA/2024-09-14 22:00:00/QY549
QY515,HKG,DXB,33X,Sat,1.0,51200,427,5,2024-09-14 21:35:00,2024-09-15 06:15:00,HKG/DXB/2024-09-14 21:35:00,HKG/DXB/2024-09-14 21:35:00/QY515
PO298,HKG,ANC,74N,Sat,,102300,853,5,2024-09-14 03:25:00,2024-09-14 13:20:00,HKG/ANC/2024-09-14 03:25:00,HKG/ANC/2024-09-14 03:25:00/PO298
K4613,HKG,ANC,74Y,Sat,,87050,725,5,2024-09-14 12:00:00,2024-09-14 21:50:00,HKG/ANC/2024-09-14 12:00:00,HKG/ANC/2024-09-14 12:00:00/K4613
K4615,HKG,ANC,74Y,Sat,,87050,725,5,2024-09-14 01:00:00,2024-09-14 10:50:00,HKG/ANC/2024-09-14 01:00:00,HKG/ANC/2024-09-14 01:00:00/K4615
K4625,HKG,ANC,74Y,Sat,,87050,725,5,2024-09-14 07:00:00,2024-09-14 16:50:00,HKG/ANC/2024-09-14 07:00:00,HKG/ANC/2024-09-14 07:00:00/K4625
ES728,HKG,BAH,76V,Sat,1.0,47650,442,5,2024-09-14 22:30:00,2024-09-15 08:20:00,HKG/BAH/2024-09-14 22:30:00,HKG/BAH/2024-09-14 22:30:00/ES728
ES732,HKG,BLR,76V,Sat,,47650,442,5,2024-09-14 02:30:00,2024-09-14 08:40:00,HKG/BLR/2024-09-14 02:30:00,HKG/BLR/2024-09-14 02:30:00/ES732
ES722,HKG,BAH,76V,Sat,1.0,47650,442,5,2024-09-14 21:35:00,2024-09-15 07:25:00,HKG/BAH/2024-09-14 21:35:00,HKG/BAH/2024-09-14 21:35:00/ES722
ES694,HKG,BAH,76V,Sat,1.0,47650,442,5,2024-09-14 20:05:00,2024-09-15 05:55:00,HKG/BAH/2024-09-14 20:05:00,HKG/BAH/2024-09-14 20:05:00/ES694
ES736,HKG,BLR,76V,Sat,1.0,47650,442,5,2024-09-14 20:25:00,2024-09-15 02:35:00,HKG/BLR/2024-09-14 20:25:00,HKG/BLR/2024-09-14 20:25:00/ES736
D03,HKG,NGO,77X,Sat,,77350,645,5,2024-09-14 10:05:00,2024-09-14 13:45:00,HKG/NGO/2024-09-14 10:05:00,HKG/NGO/2024-09-14 10:05:00/D03
D0523,HKG,CVG,77X,Sat,1.0,77350,645,5,2024-09-14 20:00:00,2024-09-15 10:50:00,HKG/CVG/2024-09-14 20:00:00,HKG/CVG/2024-09-14 20:00:00/D0523
K4223,HKG,NGO,77X,Sat,,77350,645,5,2024-09-14 06:00:00,2024-09-14 09:55:00,HKG/NGO/2024-09-14 06:00:00,HKG/NGO/2024-09-14 06:00:00/K4223
3S521,HKG,LEJ,77X,Sat,,77350,645,5,2024-09-14 01:00:00,2024-09-14 13:45:00,HKG/LEJ/2024-09-14 01:00:00,HKG/LEJ/2024-09-14 01:00:00/3S521
3S591,HKG,DEL,77X,Sat,1.0,77350,645,5,2024-09-14 23:20:00,2024-09-15 05:35:00,HKG/DEL/2024-09-14 23:20:00,HKG/DEL/2024-09-14 23:20:00/3S591
3S593,HKG,DEL,77X,Sat,,77350,645,5,2024-09-14 03:55:00,2024-09-14 10:10:00,HKG/DEL/2024-09-14 03:55:00,HKG/DEL/2024-09-14 03:55:00/3S593
3S631,HKG,DWC,77X,Sat,,77350,645,5,2024-09-14 11:55:00,2024-09-14 20:25:00,HKG/DWC/2024-09-14 11:55:00,HKG/DWC/2024-09-14 11:55:00/3S631
K4229,HKG,ANC,77X,Sat,1.0,77350,645,5,2024-09-14 23:00:00,2024-09-15 08:50:00,HKG/ANC/2024-09-14 23:00:00,HKG/ANC/2024-09-14 23:00:00/K4229
3S594,HKG,ANC,77X,Sat,1.0,77350,645,5,2024-09-14 22:25:00,2024-09-15 08:00:00,HKG/ANC/2024-09-14 22:25:00,HKG/ANC/2024-09-14 22:25:00/3S594
K4225,HKG,ANC,77X,Sat,1.0,77350,645,5,2024-09-14 21:00:00,2024-09-15 06:50:00,HKG/ANC/2024-09-14 21:00:00,HKG/ANC/2024-09-14 21:00:00/K4225
3V400,HKG,ALA,74Y,Sun,,87050,725,6,2024-09-15 04:15:00,2024-09-15 10:45:00,HKG/ALA/2024-09-15 04:15:00,HKG/ALA/2024-09-15 04:15:00/3V400
3V517,HKG,ALA,74Y,Sun,,87050,725,6,2024-09-15 12:25:00,2024-09-15 18:55:00,HKG/ALA/2024-09-15 12:25:00,HKG/ALA/2024-09-15 12:25:00/3V517
K4619,HKG,ANC,74Y,Sun,,87050,725,6,2024-09-15 01:00:00,2024-09-15 10:50:00,HKG/ANC/2024-09-15 01:00:00,HKG/ANC/2024-09-15 01:00:00/K4619
K4627,HKG,ANC,74Y,Sun,,87050,725,6,2024-09-15 03:55:00,2024-09-15 13:45:00,HKG/ANC/2024-09-15 03:55:00,HKG/ANC/2024-09-15 03:55:00/K4627
3S509,HKG,LEJ,77X,Sun,,77350,645,6,2024-09-15 00:25:00,2024-09-15 13:10:00,HKG/LEJ/2024-09-15 00:25:00,HKG/LEJ/2024-09-15 00:25:00/3S509
3S633,HKG,DWC,77X,Sun,1.0,77350,645,6,2024-09-15 17:50:00,2024-09-16 02:20:00,HKG/DWC/2024-09-15 17:50:00,HKG/DWC/2024-09-15 17:50:00/3S633
K4211,HKG,NGO,77X,Sun,,77350,645,6,2024-09-15 01:00:00,2024-09-15 04:55:00,HKG/NGO/2024-09-15 01:00:00,HKG/NGO/2024-09-15 01:00:00/K4211
K4223,HKG,ANC,77X,Sun,1.0,77350,645,6,2024-09-15 22:40:00,2024-09-16 08:30:00,HKG/ANC/2024-09-15 22:40:00,HKG/ANC/2024-09-15 22:40:00/K4223
3S629,HKG,DWC,77X,Sun,1.0,77350,645,6,2024-09-15 23:45:00,2024-09-16 08:15:00,HKG/DWC/2024-09-15 23:45:00,HKG/DWC/2024-09-15 23:45:00/3S629
SQ7429,HNL,SYD,77X,Tue,1.0,77350,645,1,2024-09-10 22:50:00,2024-09-11 09:25:00,HNL/SYD/2024-09-10 22:50:00,HNL/SYD/2024-09-10 22:50:00/SQ7429
